dataset_id;name;n_features_before_preprocessing;n_classes;n_samples_train;n_samples_test;n_features_after_preprocessing;f1_ann;roc_auc_ann;f1_xgboost;roc_auc_xgboost
6;letter;16;26;14166;4894;16;0.9423527337317892;0.9992910540892866;0.9605980795734067;0.9995626559908836
32;pendigits;16;10;8244;2748;16;0.9952696383827734;0.9993380200536051;0.9905348264157637;0.9996221032412587
151;electricity;8;2;33984;11328;8;0.7791288967499447;0.9039407530576442;0.9040008356836937;0.9766566503575087
1053;jm1;21;2;6820;2420;21;0.209375;0.6945319972231567;0.33668341708542715;0.6775009630523321
1590;adult;14;2;36600;12209;14;0.6712660824165579;0.9113063528634022;0.7083179297597042;0.9263513778939948
1489;phoneme;5;2;4046;1351;5;0.7390180878552972;0.9252006005073251;0.8060836501901141;0.9525029766526893
1497;wall-robot-navigation;24;4;4092;1364;24;0.8936266170727131;0.9687619830166454;0.9963341892613421;0.9999599366439055
4534;PhishingWebsites;30;2;4944;2237;30;0.9464812473662031;0.9882062092571583;0.9732711073398388;0.9962762564980225
1461;bank-marketing;16;2;33908;11303;16;0.5270567531896172;0.9185136369980046;0.5512660855126609;0.9318504165733555
40983;wilt;5;2;3624;1206;5;0.8873239436619719;0.9971327967806841;0.8208955223880597;0.99307092555332
41027;jungle_chess_2pcs_raw_endgame_complete;6;3;33614;11205;6;0.875528547229587;0.9777564438841005;0.8721839144579328;0.9783859687090715
23517;numerai28.6;21;2;72240;24080;21;0.5901511664955571;0.5280636055241328;0.5243985977354233;0.5111085907867544
40701;churn;20;2;3750;1250;20;0.793002915451895;0.921620789842939;0.8271604938271605;0.9280837102066152
28;optdigits;64;10;4215;1405;62;0.9836353317422486;0.9996999512982245;0.9807654958247395;0.9996647401700615
44;spambase;57;2;3190;1097;57;0.9291338582677166;0.979673398635263;0.9395973154362416;0.9908289538850978
182;satimage;36;6;4822;1608;36;0.8986997484367876;0.9892809510889367;0.9087157989950599;0.9917130172557901
300;isolet;617;26;5847;1950;617;0.9473362710067831;0.999066266149504;0.9484355962557178;0.9988007825306463
554;mnist_784;784;10;52500;17500;710;0.9676983160026338;0.9986739042426154;0.978573354309721;0.9996261362326132
1486;nomao;118;2;24319;8335;118;0.9729091062536923;0.9917894713422953;0.9785371601717027;0.9948552097228254
1475;first-order-theorem-proving;51;6;4298;1488;51;0.49897994717139627;0.7940443302968893;0.5964090325457653;0.858450596014601
4538;GesturePhaseSegmentationProcessed;32;5;7404;2469;32;0.5275915059018683;0.815046604173513;0.6688257702849332;0.8968542679021407
1478;har;561;6;7724;2575;561;0.9731786138460417;0.9988643271557596;0.9914459375720288;0.999893475304936
40499;texture;40;11;4111;1373;40;0.9934352385664469;0.9999018871511018;0.9796095076283577;0.999771669633724
40668;connect-4;42;3;50667;16890;126;0.8275156833438552;0.9420464741715819;0.8334800592112364;0.9523692698551752
40996;Fashion-MNIST;784;10;52500;17500;784;0.8926815431951333;0.9920404905966307;0.9085160527010094;0.9941434215390772
40923;Devnagari-Script;1024;46;68983;22998;784;0.8945890626473072;0.9976260610214044;0.9198288315034014;0.9984628803325375
40927;CIFAR_10;3072;10;45000;15000;3072;0.50856621987413;0.8833073745355875;0.5706751001059382;0.9086202046550254