dataset_id;name;n_features_before_preprocessing;n_samples_train;n_samples_test;n_features_after_preprocessing;mse_ann_baseline;mse_ann;improvement_ann_percent;mse_xgboost_baseline;mse_xgboost;improvement_xgboost_percent
44956;abalone;8;3132;1045;8;1.083;0.4847;55.24;1.083;0.605;44.14
44963;physiochemical_protein;9;33276;11313;9;1.0032;0.4333;56.81;1.0032;0.3814;61.98
44969;naval_propulsion_plant;14;8950;2984;14;1.0002;0.0009;99.91;1.0002;0.0054;99.46
44971;white_wine;11;3129;1163;11;0.9906;0.6204;37.37;0.9906;0.4895;50.59
44973;grid_stability;12;7500;2500;12;0.9784;0.0406;95.85;0.9784;0.0671;93.14
44974;video_transcoding;18;51588;17196;18;0.962;0.0103;98.93;0.962;0.0071;99.26
44976;sarcos;21;34231;11943;21;1.0382;0.0152;98.54;1.0382;0.0202;98.05
44977;california_housing;8;15480;5160;8;0.9821;0.2105;78.57;0.9821;0.1628;83.42
44978;cpu_activity;21;6144;2048;21;1.1286;0.0217;98.08;1.1286;0.0256;97.73
44979;diamonds;9;40364;13474;9;1.0207;0.0231;97.74;1.0207;0.0194;98.1
44980;kin8nm;8;6144;2048;8;0.9502;0.0799;91.59;0.9502;0.2067;78.25
44983;miami_housing;15;10449;3483;15;1.0066;0.0868;91.38;1.0066;0.0832;91.73
44984;cps88wages;6;19857;6872;6;0.7557;0.5099;32.53;0.7557;0.6487;14.16
44989;kings_county;21;16209;5404;21;0.927;0.112;87.92;0.927;0.0988;89.34
44990;brazilian_houses;9;7807;2635;9;0.2036;0.026;87.23;0.2036;0.162;20.43
44993;health_insurance;11;16077;5486;11;1.0185;0.6291;38.23;1.0185;0.707;30.58
45012;fifa;28;14383;4795;28;0.8187;0.2063;74.8;0.8187;0.2434;70.27
44964;superconductivity;81;15909;5312;81;1.0407;0.1202;88.45;1.0407;0.0805;92.26
44975;wave_energy;48;54000;18000;48;0.999;0.0;100.0;0.999;0.0369;96.31
44981;pumadyn32nh;32;6144;2048;32;0.9757;0.5012;48.63;0.9757;0.4095;58.03
44992;fps_benchmark;43;18468;6156;39;1.0561;0.0003;99.97;1.0561;0.0005;99.95